k,n_bldg,peak_kw,annual_kwh,designed_kva,kva_imputed,overload_hours,utilisation,assigned_dwellings,archetype_to_assignment_ratio,audit_count_reconciliation,audit_extreme_utilisation,audit_large_catchment,requires_asset_audit
AC***448X,50,42.40858805179596,242067.50153276994,50.0,False,0,0.8481717610359192,56,0.8928571428571429,False,False,False,False
AC***470,17,23.175619043409824,72956.93279336029,50.0,False,0,0.46351238086819646,21,0.8095238095238095,False,False,False,False
AC***490Z,92,327.6570775434375,571442.0576421258,1000.0,False,0,0.3276570775434375,112,0.8214285714285714,False,False,False,False
AC***491Z,51,178.84295327216387,313957.7013063055,1000.0,False,0,0.17884295327216387,66,0.7727272727272727,True,False,False,False
AC***522X,37,32.40712946653366,157925.1108371976,200.0,False,0,0.16203564733266831,37,1.0,False,False,False,False
AC***539X,30,36.959999799728394,110372.2451955336,200.0,False,0,0.18479999899864197,31,0.967741935483871,False,False,False,False
AC***558X,25,33.152000069618225,91179.6260645269,1000.0,False,0,0.03315200006961822,25,1.0,False,False,False,False
AC***561Z,81,95.40846526622772,202687.64154629415,400.0,False,0,0.23852116316556932,81,1.0,False,False,False,False
AC***576,161,135.61597508192062,777370.7969342738,50.0,False,6417,2.7123195016384125,176,0.9147727272727273,False,False,False,False
AC***610Z,2,1.381861388683319,7436.829362965922,100.0,False,0,0.01381861388683319,2,1.0,False,False,False,False
AC***611X,7,10.009309768676758,30867.589151900596,100.0,False,0,0.10009309768676758,5,1.4,True,False,False,False
AC***663,34,41.358562886714935,134845.13496895763,50.0,False,0,0.8271712577342987,34,1.0,False,False,False,False
AC***697,18,17.961590230464935,71405.669212254,100.0,False,0,0.17961590230464936,25,0.72,True,False,False,False
AC***698,1,1.2319999933242798,2378.450345089591,400.0,False,0,0.0030799999833106993,1,1.0,False,False,False,False
AC***717X,29,104.15559298172593,180468.38076128822,630.0,False,0,0.16532633806623165,41,0.7073170731707317,True,False,False,False
AC***727,33,37.57896161079407,134090.68538513186,50.0,False,0,0.7515792322158813,34,0.9705882352941176,False,False,False,False
AC***942Z,8,9.855999946594238,29336.274728803568,630.0,False,0,0.015644444359673396,8,1.0,False,False,False,False
AC***977,45,42.819171726703644,192156.3122391558,200.0,False,0,0.2140958586335182,51,0.8823529411764706,False,False,False,False
AC***991,7,5.775740683078766,24756.42791296386,100.0,False,0,0.05775740683078766,7,1.0,False,False,False,False
AD***009,52,55.982271790504456,212711.2470472316,630.0,False,0,0.08886074887381659,53,0.9811320754716981,False,False,False,False
AD***017Z,37,32.938277423381805,157623.28448038182,100.0,False,0,0.32938277423381807,37,1.0,False,False,False,False
AD***089Z,8,6.0410502552986145,29145.14035151302,200.0,False,0,0.030205251276493074,8,1.0,False,False,False,False
AD***115,200,451.7166424356401,915774.4759248832,400.0,False,730,1.1292916060891003,182,1.098901098901099,False,False,False,False
AD***149,9,8.51550430059433,33315.321901154166,200.0,False,0,0.04257752150297165,16,0.5625,True,False,False,False
AD***168,2,2.4639999866485596,7789.979245521235,400.0,False,0,0.006159999966621399,2,1.0,False,False,False,False
AD***185Z,35,42.48091125488281,119953.00048263976,200.0,False,0,0.21240455627441407,35,1.0,False,False,False,False
AD***187,14,21.952000379562378,46445.86499297868,200.0,False,0,0.10976000189781189,13,1.0769230769230769,False,False,False,False
AD***217Z,16,16.032897293567657,59025.90121266592,50.0,False,0,0.32065794587135316,21,0.7619047619047619,True,False,False,False
AD***226,36,41.50374048948288,142194.92529309314,400.0,False,0,0.1037593512237072,37,0.972972972972973,False,False,False,False
AD***292,112,96.2815911769867,466638.3002106253,200.0,False,0,0.48140795588493346,121,0.9256198347107438,False,False,False,False
AD***292Y,7,5.775740683078766,24756.42791296386,50.0,False,0,0.11551481366157532,7,1.0,False,False,False,False
AD***314X,34,41.88799977302551,110325.85818156989,1000.0,False,0,0.041887999773025514,34,1.0,False,False,False,False
AD***348X,99,118.40132367610931,329189.0850979759,400.0,False,0,0.2960033091902733,117,0.8461538461538461,False,False,False,False
AD***386X,341,419.65715086460114,1086167.6336518722,1000.0,False,0,0.41965715086460115,341,1.0,False,False,False,False
AD***4038,15,18.422885060310364,56340.25067508176,50.0,False,0,0.3684577012062073,17,0.8823529411764706,False,False,False,False
AD***4039,65,80.07999956607819,195569.83589370764,200.0,True,0,0.40039999783039093,65,1.0,False,False,False,False
AD***4051,9,11.038211226463318,29907.165877208718,50.0,False,0,0.22076422452926636,15,0.6,True,False,False,False
AD***4092,12,14.783999919891357,47529.70321369886,200.0,False,0,0.07391999959945679,10,1.2,False,False,False,False
AD***4318,34,67.97209506109357,160004.27727602137,630.0,False,0,0.1078922143826882,46,0.7391304347826086,True,False,False,False
AD***4329,25,27.901951849460602,87549.11423219011,50.0,False,0,0.5580390369892121,36,0.6944444444444444,True,False,False,False
AD***4422,93,92.63160127401352,350095.4372064559,630.0,False,0,0.1470342877365294,111,0.8378378378378378,False,False,False,False
AD***486Z,119,150.66638020053506,366254.12293159764,400.0,False,0,0.37666595050133767,118,1.0084745762711864,False,False,False,False
AD***487Z,125,153.99999916553497,311771.5379506351,630.0,False,0,0.24444444311989677,125,1.0,False,False,False,False
AD***488Z,144,177.4079990386963,361586.0918161194,630.0,False,0,0.2815999984741211,144,1.0,False,False,False,False
AD***499Y,1,0.6786965131759644,3674.6960881163604,200.0,True,0,0.003393482565879822,1,1.0,False,False,False,False
AD***525,43,52.97599971294403,147152.47243095,630.0,False,0,0.0840888884332445,43,1.0,False,False,False,False
AD***533Y,35,30.376617312431335,159855.26400200283,50.0,False,0,0.6075323462486267,36,0.9722222222222222,False,False,False,False
AD***551,2,2.4639999866485596,6944.477047471355,100.0,False,0,0.024639999866485594,2,1.0,False,False,False,False
AD***580,45,54.66683113574982,158499.22806960295,100.0,False,0,0.5466683113574982,45,1.0,False,False,False,False
AD***612Y,14,17.247999906539917,51804.170036733594,50.0,False,0,0.34495999813079836,19,0.7368421052631579,True,False,False,False
AD***618Y,7,8.599105596542358,23437.829298178927,50.0,False,0,0.17198211193084717,7,1.0,False,False,False,False
AD***622Z,47,57.90399968624115,122808.99877626312,400.0,False,0,0.14475999921560287,47,1.0,False,False,False,False
AD***645Z,78,96.09599947929382,243069.96613106527,400.0,False,0,0.24023999869823456,78,1.0,False,False,False,False
AD***658Z,4,4.927999973297119,7790.646544047559,400.0,False,0,0.012319999933242797,4,1.0,False,False,False,False
AD***720,10,12.270211219787598,33008.11698070177,630.0,False,0,0.019476525745694598,15,0.6666666666666666,True,False,False,False
AD***765,220,216.55656510591507,901028.6137788743,50.0,False,5874,4.331131302118301,228,0.9649122807017544,False,False,False,False
AD***787Y,32,32.43068253993988,138732.8374369928,50.0,False,0,0.6486136507987976,42,0.7619047619047619,True,False,False,False
AD***798,11,10.678846299648285,37970.033810213965,200.0,False,0,0.05339423149824143,11,1.0,False,False,False,False
AD***810,12,13.3181112408638,45408.9867362926,50.0,False,0,0.266362224817276,15,0.8,False,False,False,False
AD***875X,36,65.52000188827515,158298.96472965286,630.0,False,0,0.10400000299726214,53,0.6792452830188679,True,False,False,False
AD***876,32,33.806424140930176,127053.27286061854,400.0,False,0,0.08451606035232544,40,0.8,False,False,False,False
AD***922Y,15,18.430211186408997,49212.148211824795,50.0,False,0,0.3686042237281799,15,1.0,False,False,False,False
AD***942,48,45.15189254283905,198176.43588390152,100.0,False,0,0.4515189254283905,58,0.8275862068965517,False,False,False,False
AD***995,106,109.1573976278305,472867.86205907795,50.0,False,5155,2.18314795255661,112,0.9464285714285714,False,False,False,False
AE***009,2,1.381861388683319,7436.829362965922,630.0,False,0,0.002193430775687808,2,1.0,False,False,False,False
AE***094Z,1,0.7175137400627136,3963.463602933017,200.0,True,0,0.003587568700313568,1,1.0,False,False,False,False
AE***099,27,26.534339547157288,103522.62273324803,400.0,False,0,0.06633584886789322,31,0.8709677419354839,False,False,False,False
AE***4078,11,13.502211213111877,41556.088076208805,50.0,False,0,0.27004422426223756,16,0.6875,True,False,False,False
AE***4381,5,6.159999966621399,16273.304045471448,200.0,True,0,0.030799999833106995,5,1.0,False,False,False,False
AE***677,8,7.007740676403046,28203.363342161832,200.0,False,0,0.03503870338201523,8,1.0,False,False,False,False
AF***276Z,2,7.482972174882889,12494.767656851827,200.0,False,0,0.037414860874414445,1,2.0,True,False,False,False
AF***289X,47,57.53501635789871,185978.05446444958,630.0,False,0,0.09132542279031541,46,1.0217391304347827,False,False,False,False
AF***579,62,75.70519655942917,239288.37237456813,200.0,False,0,0.37852598279714583,68,0.9117647058823529,False,False,False,False
AF***658,8,7.007740676403046,28203.363342161832,50.0,False,0,0.14015481352806092,9,0.8888888888888888,False,False,False,False
AF***696Y,62,75.78377544879913,290874.94447135937,400.0,False,0,0.18945943862199782,63,0.9841269841269841,False,False,False,False
AG***012Y,18,23.35161904245615,76057.22969288484,100.0,False,0,0.2335161904245615,25,0.72,True,False,False,False
AG***024,77,94.86399948596954,322638.7560787356,630.0,False,0,0.15057777696185642,134,0.5746268656716418,True,False,False,False
AG***036,43,43.18140786886215,167747.76816043112,50.0,False,0,0.8636281573772431,46,0.9347826086956522,False,False,False,False
AG***046,71,86.73608165979385,271226.16064924264,200.0,False,0,0.43368040829896926,73,0.9726027397260274,False,False,False,False
AG***061X,145,128.25173664093018,686115.615805862,200.0,False,0,0.6412586832046508,151,0.9602649006622517,False,False,False,False
AG***070Z,61,74.49809092283249,232245.700519739,400.0,False,0,0.18624522730708123,92,0.6630434782608695,True,False,False,False
AG***071Z,118,142.98433220386505,468948.3184710542,400.0,False,0,0.35746083050966265,118,1.0,False,False,False,False
AG***074,14,15.560030281543732,52161.706582763545,50.0,False,0,0.31120060563087465,21,0.6666666666666666,True,False,False,False
AG***076Y,54,60.32753533124924,210277.93363967887,50.0,False,993,1.2065507066249848,61,0.8852459016393442,False,False,False,False
AG***092,9,11.038211226463318,29907.165877208718,50.0,False,0,0.22076422452926636,11,0.8181818181818182,False,False,False,False
AG***094X,167,204.61044204235077,643625.7885562577,400.0,False,0,0.5115261051058769,177,0.943502824858757,False,False,False,False
AG***100,43,48.91766208410263,177428.82532886328,400.0,False,0,0.12229415521025658,50,0.86,False,False,False,False
AG***115,39,38.29331308603287,166782.51210748393,50.0,False,0,0.7658662617206573,48,0.8125,False,False,False,False
AG***124Y,6,7.102111399173737,22318.9963294209,200.0,False,0,0.035510556995868685,5,1.2,False,False,False,False
AG***125,36,31.87911557406187,155236.4874646187,50.0,False,0,0.6375823114812375,37,0.972972972972973,False,False,False,False
