k,n_bldg,peak_kw,annual_kwh,designed_kva,kva_imputed,overload_hours,utilisation,assigned_dwellings,archetype_to_assignment_ratio,audit_count_reconciliation,audit_extreme_utilisation,audit_large_catchment,requires_asset_audit
AR***533X,2,2.4639999866485596,6944.477047471355,630.0,False,0,0.003911111089918349,2,1.0,False,False,False,False
AR***535Y,42,38.09003001451492,176812.4609308552,400.0,False,0,0.09522507503628731,42,1.0,False,False,False,False
AR***536Z,72,88.30300116539001,348781.08755955345,400.0,False,0,0.22075750291347504,72,1.0,False,False,False,False
AR***537,74,67.07608580589294,327523.72796432115,400.0,False,0,0.16769021451473237,81,0.9135802469135802,False,False,False,False
AR***538X,116,98.83843129873276,480207.173027756,400.0,False,0,0.24709607824683189,125,0.928,False,False,False,False
AR***539,34,38.56680512428284,139393.52291609521,50.0,False,0,0.7713361024856568,38,0.8947368421052632,False,False,False,False
AR***542,32,31.823223680257797,157074.36211029137,50.0,False,0,0.6364644736051559,41,0.7804878048780488,True,False,False,False
AR***543Z,77,94.86399948596954,331498.5860056119,400.0,False,0,0.23715999871492385,69,1.1159420289855073,False,False,False,False
AR***545,38,45.68407243490219,149087.75601325915,400.0,False,0,0.11421018108725547,49,0.7755102040816326,True,False,False,False
AR***546,37,32.585674464702606,168153.32127585396,400.0,False,0,0.08146418616175652,38,0.9736842105263158,False,False,False,False
AR***548X,16,29.1200008392334,71461.35027154893,50.0,False,0,0.582400016784668,22,0.7272727272727273,True,False,False,False
AR***548Z,45,170.7661828994751,289558.32385108096,630.0,False,0,0.27105743317377,58,0.7758620689655172,True,False,False,False
AR***549X,99,121.9679993391037,462845.67575738963,400.0,False,0,0.30491999834775924,104,0.9519230769230769,False,False,False,False
AR***550Y,21,23.023740589618683,81657.5395853373,200.0,False,0,0.11511870294809341,27,0.7777777777777778,True,False,False,False
AR***558Y,61,74.49809092283249,235918.4544724524,200.0,False,0,0.37249045461416247,66,0.9242424242424242,False,False,False,False
AR***558Z,139,162.61792695522308,607049.081211682,400.0,False,0,0.4065448173880577,140,0.9928571428571429,False,False,False,False
AR***559Y,5,6.159999966621399,18480.56273395497,630.0,False,0,0.00977777772479587,5,1.0,False,False,False,False
AR***559Z,57,70.22399961948395,250074.25487239478,200.0,False,0,0.3511199980974197,64,0.890625,False,False,False,False
AR***568,16,19.662211179733276,63903.84123324594,50.0,False,0,0.39324422359466554,20,0.8,False,False,False,False
AR***568X,9,8.51550430059433,33315.321901154166,50.0,False,0,0.1703100860118866,10,0.9,False,False,False,False
AR***568Y,137,168.78399908542633,645430.6992826601,400.0,False,0,0.42195999771356585,147,0.9319727891156463,False,False,False,False
AR***570,50,40.16328048706055,243062.1130650103,100.0,False,0,0.4016328048706055,53,0.9433962264150944,False,False,False,False
AR***571,88,82.38368761539459,360964.9447223962,400.0,False,0,0.2059592190384865,101,0.8712871287128713,False,False,False,False
AR***572,160,166.60147732496262,774578.3769765964,200.0,False,0,0.8330073866248131,168,0.9523809523809523,False,False,False,False
AR***574,11,13.502211213111877,41556.088076208805,100.0,False,0,0.13502211213111878,18,0.6111111111111112,True,False,False,False
AR***576,10,12.270211219787598,33008.11698070177,400.0,False,0,0.030675528049468995,11,0.9090909090909091,False,False,False,False
AR***576Y,46,56.04298537969589,175326.26352485962,100.0,False,0,0.560429853796959,50,0.92,False,False,False,False
AR***576Z,66,81.31199955940247,220580.46463570726,630.0,False,0,0.1290666659673055,66,1.0,False,False,False,False
AR***578,53,90.95031479746103,249221.16431527614,200.0,False,0,0.45475157398730515,38,1.394736842105263,True,False,False,False
AR***578X,179,186.27128469944,736254.4565631433,50.0,False,5556,3.7254256939888,191,0.93717277486911,False,False,False,False
AR***578Z,102,125.66399931907654,432924.13988043554,400.0,False,0,0.31415999829769137,102,1.0,False,False,False,False
AR***586X,71,116.59923276118934,264939.0150440342,400.0,False,0,0.2914980819029733,55,1.290909090909091,True,False,False,False
AR***587Y,19,23.527619041502476,79157.89071423058,200.0,False,0,0.11763809520751238,26,0.7307692307692307,True,False,False,False
AR***589,43,52.34698539972305,166026.66222933604,100.0,False,0,0.5234698539972306,45,0.9555555555555556,False,False,False,False
AR***595X,65,79.57545703649521,274182.97263775923,200.0,False,0,0.39787728518247606,67,0.9701492537313433,False,False,False,False
AR***599X,82,101.02399945259094,280092.33136624075,400.0,False,0,0.2525599986314774,82,1.0,False,False,False,False
AR***599Y,36,40.9991979598999,141528.63112231492,200.0,False,0,0.2049959897994995,48,0.75,True,False,False,False
AR***602X,132,138.7454764842987,541366.8367825169,100.0,False,1969,1.3874547648429871,144,0.9166666666666666,False,False,False,False
AR***602Y,26,24.079570278525352,120949.23560898786,50.0,False,0,0.48159140557050706,27,0.9629629629629629,False,False,False,False
AR***604,141,160.53512877225876,603708.6469966618,200.0,False,0,0.8026756438612938,146,0.9657534246575342,False,False,False,False
AR***606,93,114.07974034547806,330667.4500382922,400.0,False,0,0.28519935086369513,92,1.0108695652173914,False,False,False,False
AR***606Z,58,70.80209094285965,225885.03976338182,400.0,False,0,0.17700522735714913,62,0.9354838709677419,False,False,False,False
AR***610Z,128,156.40903514623642,489060.6855775521,630.0,False,0,0.24826830975593084,128,1.0,False,False,False,False
AR***613X,18,22.175999879837036,71673.63836446346,200.0,False,0,0.11087999939918518,18,1.0,False,False,False,False
AR***619Z,88,123.65421223640442,410919.4981887705,400.0,False,0,0.30913553059101107,97,0.9072164948453608,False,False,False,False
AR***620,66,62.515969932079315,261365.0118499666,100.0,False,0,0.6251596993207932,74,0.8918918918918919,False,False,False,False
AR***621,75,101.94130927324295,320037.9408505369,200.0,False,0,0.5097065463662147,68,1.1029411764705883,False,False,False,False
AR***622Y,2,1.4973095655441284,8234.510635857761,630.0,False,0,0.002376681850070045,3,0.6666666666666666,True,False,False,False
AR***629,78,108.2485076263547,357140.2240827192,630.0,False,0,0.1718230279783408,62,1.2580645161290323,True,False,False,False
AR***630,37,32.055115573108196,158454.04543408146,50.0,False,0,0.6411023114621639,40,0.925,False,False,False,False
AR***633,18,16.755244970321655,64745.28673875224,50.0,False,0,0.3351048994064331,19,0.9473684210526315,False,False,False,False
AR***637,61,67.23766654729843,296857.4701422778,200.0,False,0,0.3361883327364922,63,0.9682539682539683,False,False,False,False
AR***639X,49,67.60842043161392,225120.55991260186,400.0,False,0,0.1690210510790348,48,1.0208333333333333,False,False,False,False
AR***639Y,107,128.97574001550674,480512.1321435097,400.0,False,0,0.32243935003876684,114,0.9385964912280702,False,False,False,False
AR***643X,166,209.2159993648529,641041.2100229296,1000.0,False,0,0.2092159993648529,169,0.9822485207100592,False,False,False,False
AR***649,55,67.13098531961441,210137.3959616507,400.0,False,0,0.16782746329903603,55,1.0,False,False,False,False
AR***652,81,97.94500589370728,299438.3901921148,400.0,False,0,0.24486251473426818,81,1.0,False,False,False,False
AR***653Y,92,112.96811836957932,284675.6319677613,400.0,False,0,0.2824202959239483,109,0.8440366972477065,False,False,False,False
AR***654X,163,499.73011411726475,1010775.3545507728,1000.0,False,0,0.49973011411726476,156,1.044871794871795,False,False,False,False
AR***661Y,1,1.2319999933242798,3126.1271884020575,100.0,False,0,0.012319999933242797,1,1.0,False,False,False,False
AR***670,1,1.2319999933242798,3477.868574308689,200.0,True,0,0.006159999966621399,1,1.0,False,False,False,False
AR***670X,23,30.97135816514492,98468.5503201749,50.0,False,0,0.6194271633028984,25,0.92,False,False,False,False
AR***670Z,53,64.69096046686172,217402.174580633,200.0,False,0,0.3234548023343086,55,0.9636363636363636,False,False,False,False
AR***675,69,85.0079995393753,306801.95864257275,200.0,False,0,0.4250399976968765,69,1.0,False,False,False,False
AR***675Z,11,10.678846299648285,37158.68393526568,50.0,False,0,0.2135769259929657,13,0.8461538461538461,False,False,False,False
AR***678X,45,54.88566845655441,175196.41342291978,400.0,False,0,0.13721417114138604,50,0.9,False,False,False,False
AR***678Y,42,37.13470071554184,178669.2083388531,200.0,False,0,0.1856735035777092,49,0.8571428571428571,False,False,False,False
AR***680X,64,93.35536086559296,302121.14669616474,50.0,False,2875,1.867107217311859,63,1.0158730158730158,False,False,False,False
AR***683X,40,37.0140106678009,161962.75570638577,50.0,False,0,0.740280213356018,45,0.8888888888888888,False,False,False,False
AR***684X,9,10.523724973201752,30536.86738661264,50.0,False,0,0.21047449946403504,9,1.0,False,False,False,False
AR***686,37,31.975680962204933,158866.1393004186,200.0,False,0,0.15987840481102467,39,0.9487179487179487,False,False,False,False
AR***690Y,31,32.77124488353729,126019.03078323868,200.0,False,0,0.16385622441768646,36,0.8611111111111112,False,False,False,False
AR***691X,13,13.89052802324295,35680.00214208407,400.0,False,0,0.03472632005810738,13,1.0,False,False,False,False
AR***694,41,36.4439600110054,171018.38081594062,50.0,False,0,0.728879200220108,42,0.9761904761904762,False,False,False,False
AR***696X,144,313.3859939798713,765752.778422978,100.0,False,3346,3.133859939798713,105,1.3714285714285714,True,False,False,False
AR***705,36,43.797668516635895,142048.08583607347,50.0,False,0,0.8759533703327179,37,0.972972972972973,False,False,False,False
AR***709Y,68,86.69835561513901,268582.9405472409,200.0,False,0,0.43349177807569506,68,1.0,False,False,False,False
AR***713Y,94,165.98766929656267,447274.7718512865,50.0,False,3849,3.3197533859312536,61,1.540983606557377,True,False,False,False
AR***717X,6,7.391999959945679,21370.590593539728,100.0,False,0,0.07391999959945679,6,1.0,False,False,False,False
AR***718,71,85.93510711193085,238677.0230798714,100.0,False,0,0.8593510711193084,78,0.9102564102564102,False,False,False,False
AR***718Y,53,65.29599964618683,166495.3579950973,200.0,False,0,0.32647999823093415,65,0.8153846153846154,False,False,False,False
AR***724Z,83,102.23110508918762,312678.40032302076,200.0,False,0,0.5111555254459381,84,0.9880952380952381,False,False,False,False
AR***725,80,101.05274280533195,361270.5502908264,400.0,False,0,0.25263185701332985,51,1.5686274509803921,True,False,False,False
AR***734Y,54,47.34712189435959,219188.68712274462,200.0,False,0,0.23673560947179795,56,0.9642857142857143,False,False,False,False
AR***734Z,10,12.319999933242798,23621.117848563663,100.0,False,0,0.12319999933242798,19,0.5263157894736842,True,False,False,False
AR***739X,87,109.12436413019896,408931.8716665167,200.0,False,0,0.5456218206509947,78,1.1153846153846154,False,False,False,False
AR***741Y,41,49.932774126529694,158551.60838017846,200.0,False,0,0.24966387063264847,53,0.7735849056603774,True,False,False,False
AR***748Y,1,1.2319999933242798,3126.1271884020575,200.0,True,0,0.006159999966621399,2,0.5,True,False,False,False
AR***749,28,38.570065677165985,119031.63818184838,50.0,False,0,0.7714013135433198,25,1.12,False,False,False,False
AR***750Y,13,11.95399922132492,44889.497622984105,100.0,False,0,0.11953999221324921,18,0.7222222222222222,True,False,False,False
AR***753Y,45,49.204600632190704,176509.4824093791,50.0,False,0,0.9840920126438141,51,0.8823529411764706,False,False,False,False
AR***755,1,1.2319999933242798,3126.1271884020575,400.0,False,0,0.0030799999833106993,1,1.0,False,False,False,False
AR***755X,73,106.96310782432556,336361.7736229664,100.0,False,730,1.0696310782432557,50,1.46,True,False,False,False
AR***759,68,62.17496508359909,266950.0106608373,200.0,False,0,0.31087482541799544,64,1.0625,False,False,False,False
AR***771Z,5,3.3117406964302063,17697.966318117942,50.0,False,0,0.06623481392860413,5,1.0,False,False,False,False
AR***772,29,35.22345727682114,119073.605591473,50.0,False,0,0.7044691455364227,31,0.9354838709677419,False,False,False,False
AR***778,29,25.60240215063095,132945.6071092839,50.0,False,0,0.512048043012619,30,0.9666666666666667,False,False,False,False
AR***782X,18,22.076422452926636,59814.331754417435,200.0,False,0,0.11038211226463318,25,0.72,True,False,False,False
AR***784X,24,22.50533092021942,90467.21366103625,100.0,False,0,0.2250533092021942,23,1.0434782608695652,False,False,False,False
AR***793X,14,14.883551955223083,58507.03330554972,75.0,False,0,0.19844735940297445,19,0.7368421052631579,True,False,False,False
AR***794Y,74,91.1679995059967,332155.4429206926,400.0,False,0,0.22791999876499175,77,0.961038961038961,False,False,False,False
AR***795,63,53.16304278373718,250976.3535831152,400.0,False,0,0.13290760695934295,67,0.9402985074626866,False,False,False,False
AR***795X,56,68.4775133728981,229226.50259592326,630.0,False,0,0.10869446567126682,104,0.5384615384615384,True,False,False,False
AR***797X,16,29.1200008392334,71136.09375606134,630.0,False,0,0.04622222355433873,14,1.1428571428571428,False,False,False,False
AR***798,15,15.631740629673004,53254.616861127535,200.0,True,0,0.07815870314836502,17,0.8823529411764706,False,False,False,False
AR***798X,59,51.226386070251465,277258.32575702586,30.0,False,5749,1.7075462023417154,66,0.8939393939393939,False,False,False,False
AR***800,60,51.60067540407181,260017.51409080642,200.0,False,0,0.258003377020359,66,0.9090909090909091,False,False,False,False
AR***801X,46,50.5462184548378,183348.56533388194,50.0,False,14,1.010924369096756,53,0.8679245283018868,False,False,False,False
AR***804Z,31,45.111687541007996,119661.24688282076,200.0,False,0,0.22555843770503997,22,1.4090909090909092,True,False,False,False
AR***809,17,16.679801523685455,64597.62143175506,50.0,False,0,0.3335960304737091,21,0.8095238095238095,False,False,False,False
AR***810,9,11.038211226463318,29907.165877208718,400.0,False,0,0.027595528066158295,14,0.6428571428571429,True,False,False,False
AR***814X,122,153.83199954032898,517061.0719676232,200.0,False,0,0.7691599977016449,87,1.4022988505747127,True,False,False,False
AR***816Y,146,142.51942706108093,601077.8073797857,630.0,False,0,0.22622131279536656,154,0.948051948051948,False,False,False,False
AR***817X,55,66.50814208388329,173892.2621211746,100.0,False,0,0.6650814208388328,55,1.0,False,False,False,False
AR***826Z,50,61.57510530948639,188710.90294091118,200.0,False,0,0.30787552654743194,52,0.9615384615384616,False,False,False,False
AR***836,28,25.165286481380463,106331.88457643967,200.0,False,0,0.1258264324069023,32,0.875,False,False,False,False
AR***837,26,24.079570278525352,120949.23560898786,50.0,False,0,0.48159140557050706,27,0.9629629629629629,False,False,False,False
AR***838X,18,16.481126964092255,67057.90741081971,50.0,False,0,0.3296225392818451,19,0.9473684210526315,False,False,False,False
AR***838Y,59,72.68799960613251,240408.1591089794,200.0,False,0,0.3634399980306625,64,0.921875,False,False,False,False
AR***839,17,14.416638016700745,61568.21738019532,100.0,False,0,0.14416638016700745,22,0.7727272727272727,True,False,False,False
AR***840X,41,47.130640506744385,159386.6509898761,50.0,False,0,0.9426128101348877,48,0.8541666666666666,False,False,False,False
AR***842X,32,38.919457256793976,127656.11700325037,200.0,False,0,0.19459728628396988,32,1.0,False,False,False,False
AR***842Y,3,2.8127381205558777,9889.840130010083,630.0,False,0,0.004464663683422028,12,0.25,True,False,False,False
AR***845,7,6.05150431394577,25845.163422781403,50.0,False,0,0.1210300862789154,7,1.0,False,False,False,False
AR***846,47,47.75562547147274,197867.66125460688,30.0,False,3339,1.5918541823824246,55,0.8545454545454545,False,False,False,False
AR***852,56,46.18821293115616,225910.02376225212,400.0,False,0,0.1154705323278904,62,0.9032258064516129,False,False,False,False
AR***854X,70,81.34296292066574,269008.77943031344,400.0,False,0,0.20335740730166435,82,0.8536585365853658,False,False,False,False
AR***854Y,94,286.42790860682726,559418.9281832878,400.0,False,0,0.7160697715170682,74,1.2702702702702702,True,False,False,False
AR***867,7,6.960924685001373,24446.00325360755,50.0,False,0,0.13921849370002748,7,1.0,False,False,False,False
AR***870,53,72.90481895208359,216184.34367606917,100.0,False,0,0.7290481895208358,52,1.0192307692307692,False,False,False,False
AR***871Y,21,25.4172460436821,86822.19494210705,100.0,False,0,0.25417246043682096,25,0.84,False,False,False,False
AR***872Z,87,73.26528960466385,352492.006736307,400.0,False,0,0.18316322401165963,97,0.8969072164948454,False,False,False,False
AR***873X,52,58.85129243135452,215190.69602302584,200.0,False,0,0.2942564621567726,54,0.9629629629629629,False,False,False,False
AR***876Z,20,21.741951882839203,78017.8524015172,50.0,False,0,0.43483903765678406,25,0.8,False,False,False,False
AR***879Y,2,1.8637758493423462,6623.901268044748,1000.0,False,0,0.0018637758493423463,2,1.0,False,False,False,False
AR***881X,178,204.51680898666382,681611.181067364,400.0,False,0,0.5112920224666595,182,0.978021978021978,False,False,False,False
AR***882,76,83.87150222063065,341241.60591869813,50.0,False,3009,1.677430044412613,86,0.8837209302325582,False,False,False,False
AR***882X,120,141.6363775730133,506018.44766568067,400.0,False,0,0.35409094393253326,120,1.0,False,False,False,False
AR***885X,133,160.22811663150787,486559.70973125834,400.0,False,0,0.40057029157876967,132,1.0075757575757576,False,False,False,False
AR***888,120,107.04608798027039,502609.4931970907,400.0,False,0,0.26761521995067594,123,0.975609756097561,False,False,False,False
AR***888X,60,92.24888936430216,272965.3865177577,100.0,False,0,0.9224888936430216,46,1.3043478260869565,True,False,False,False
AR***889X,65,97.67657709121704,266969.28240015585,100.0,False,0,0.9767657709121704,74,0.8783783783783784,False,False,False,False
AR***892X,8,9.855999946594238,29706.418829164704,50.0,False,0,0.19711999893188475,8,1.0,False,False,False,False
AR***899,33,31.805015433579683,154075.62625628663,50.0,False,0,0.6361003086715936,34,0.9705882352941176,False,False,False,False
AR***905Y,111,136.75199925899506,346344.9702949737,400.0,False,0,0.34187999814748765,115,0.9652173913043478,False,False,False,False
AR***908,83,100.61781853437424,341872.3482442949,400.0,False,0,0.2515445463359356,83,1.0,False,False,False,False
AR***912,93,97.63477462530136,349321.2203763578,200.0,False,0,0.4881738731265068,108,0.8611111111111112,False,False,False,False
AR***914Y,9,8.51550430059433,33315.321901154166,50.0,False,0,0.1703100860118866,11,0.8181818181818182,False,False,False,False
AR***915,37,32.31595080345869,187579.7271212306,50.0,False,0,0.6463190160691739,41,0.9024390243902439,False,False,False,False
AR***916X,9,8.239740669727325,31194.381924650985,400.0,False,0,0.020599351674318315,9,1.0,False,False,False,False
AR***931,11,13.502211213111877,36486.39300508295,50.0,False,0,0.27004422426223756,10,1.1,False,False,False,False
AR***934,129,111.27319300174713,533942.0209416267,630.0,False,0,0.1766241158757891,139,0.9280575539568345,False,False,False,False
AR***937,45,55.43999969959259,174674.05149226997,50.0,False,365,1.1087999939918518,47,0.9574468085106383,False,False,False,False
AR***941,25,21.774459540843964,101995.91097669308,100.0,False,0,0.21774459540843963,28,0.8928571428571429,False,False,False,False
AR***943,74,94.5139867067337,308605.74890378746,50.0,False,2589,1.890279734134674,72,1.0277777777777777,False,False,False,False
AR***947X,35,43.09510540962219,137483.25857585,400.0,False,0,0.10773776352405548,36,0.9722222222222222,False,False,False,False
AR***953,11,13.502211213111877,41556.088076208805,50.0,False,0,0.27004422426223756,17,0.6470588235294118,True,False,False,False
AR***962,224,271.2478628754616,829935.2957091837,400.0,False,0,0.678119657188654,158,1.4177215189873418,True,False,False,False
AR***962Z,9,11.038211226463318,29907.165877208718,50.0,False,0,0.22076422452926636,15,0.6,True,False,False,False
AR***966,98,136.01089769601822,422048.1638516105,50.0,False,3996,2.7202179539203644,102,0.9607843137254902,False,False,False,False
AR***968X,19,23.407999873161316,81631.66368619661,100.0,False,0,0.23407999873161317,19,1.0,False,False,False,False
AR***968Y,62,50.856230318546295,254128.8733510578,100.0,False,0,0.5085623031854629,70,0.8857142857142857,False,False,False,False
AR***969X,12,14.709316849708557,40210.648672320756,50.0,False,0,0.2941863369941711,13,0.9230769230769231,False,False,False,False
AR***970Y,72,88.70399951934814,299366.3256648229,400.0,False,0,0.22175999879837036,76,0.9473684210526315,False,False,False,False
AR***971,9,11.038211226463318,29907.165877208718,100.0,False,0,0.11038211226463318,9,1.0,False,False,False,False
AR***971X,5,3.3117406964302063,17697.966318117942,50.0,False,0,0.06623481392860413,6,0.8333333333333334,False,False,False,False
AR***973,27,31.23150735348463,145307.55159593793,50.0,False,0,0.6246301470696927,28,0.9642857142857143,False,False,False,False
AR***976,16,19.637316823005676,53343.62787434198,50.0,False,0,0.39274633646011353,17,0.9411764705882353,False,False,False,False
AR***978,28,24.141572259366512,119982.14674864925,100.0,False,0,0.24141572259366512,30,0.9333333333333333,False,False,False,False
AR***978X,12,9.363245010375977,43728.85163863549,200.0,False,0,0.046816225051879885,12,1.0,False,False,False,False
AR***979,20,24.615105509757996,65490.58547443684,50.0,False,0,0.4923021101951599,20,1.0,False,False,False,False
AR***981,57,48.95505177974701,229643.3449661263,50.0,False,0,0.9791010355949402,61,0.9344262295081968,False,False,False,False
AR***983X,37,45.58399975299835,118132.70361701398,200.0,False,0,0.22791999876499175,39,0.9487179487179487,False,False,False,False
AR***985X,32,38.894562900066376,128644.64363134382,50.0,False,0,0.7778912580013275,33,0.9696969696969697,False,False,False,False
AR***986X,67,55.37804937362671,271438.8055601858,200.0,False,0,0.27689024686813357,72,0.9305555555555556,False,False,False,False
AR***987,82,113.85280179977417,302900.2181135101,400.0,False,0,0.28463200449943543,67,1.2238805970149254,True,False,False,False
AR***988X,121,148.47177505493164,385536.2975459723,400.0,False,0,0.3711794376373291,121,1.0,False,False,False,False
AR***988Z,19,16.073300421237946,73666.28428894769,50.0,False,0,0.3214660084247589,23,0.8260869565217391,False,False,False,False
AR***990Y,5,6.159999966621399,21178.905576693272,400.0,False,0,0.015399999916553497,5,1.0,False,False,False,False
AR***992Y,79,93.34252029657364,308789.2814797814,50.0,False,3263,1.8668504059314728,87,0.9080459770114943,False,False,False,False
AR***992Z,66,64.96973699331284,263119.5029670812,50.0,False,1307,1.2993947398662566,67,0.9850746268656716,False,False,False,False
AS***002X,85,104.67021071910858,347879.77685672615,200.0,False,0,0.5233510535955429,94,0.9042553191489362,False,False,False,False
AS***008,11,9.493662297725677,38055.32217032386,200.0,False,0,0.04746831148862839,14,0.7857142857142857,True,False,False,False
AS***018Z,18,23.35161904245615,76057.22969288484,400.0,False,0,0.05837904760614038,22,0.8181818181818182,False,False,False,False
AS***019,122,106.49333721399307,525752.8056136038,400.0,False,0,0.2662333430349827,124,0.9838709677419355,False,False,False,False
AS***023Z,39,34.064754486083984,167513.6794655525,200.0,False,0,0.17032377243041993,40,0.975,False,False,False,False
AS***024,44,54.20799970626831,199411.48936493573,200.0,False,0,0.27103999853134153,46,0.9565217391304348,False,False,False,False
AS***026Y,9,11.038211226463318,29907.165877208718,100.0,False,0,0.11038211226463318,13,0.6923076923076923,True,False,False,False
AS***034Z,118,137.3998908996582,459579.44714660826,200.0,False,0,0.686999454498291,117,1.0085470085470085,False,False,False,False
AS***035,90,78.4620953798294,350603.6765021861,200.0,False,0,0.39231047689914705,97,0.9278350515463918,False,False,False,False
AS***042Z,66,184.46228206902742,377154.69377838174,200.0,False,0,0.9223114103451371,50,1.32,True,False,False,False
AS***043,78,141.96000409126282,305901.61068076716,630.0,False,0,0.2253333398274013,63,1.2380952380952381,True,False,False,False
AS***046,135,155.1425553560257,530617.6073647456,200.0,False,0,0.7757127767801285,142,0.9507042253521126,False,False,False,False
AS***051Z,116,142.9020230770111,404000.9965131313,400.0,False,0,0.35725505769252774,116,1.0,False,False,False,False
AS***055,130,136.3221464753151,584290.6374400158,400.0,False,0,0.3408053661882877,139,0.935251798561151,False,False,False,False
AS***056,101,109.77398151159286,461942.7874972055,400.0,False,0,0.27443495377898214,108,0.9351851851851852,False,False,False,False
AS***061Z,88,132.52400183677673,414964.28688149905,400.0,False,0,0.3313100045919418,82,1.0731707317073171,False,False,False,False
AS***068Z,112,137.98399925231934,476286.5244006901,200.0,False,0,0.6899199962615967,112,1.0,False,False,False,False
AS***070X,113,109.95098978281021,435152.6334615379,400.0,False,0,0.27487747445702554,122,0.9262295081967213,False,False,False,False
AS***071X,71,86.74340778589249,274574.90993491,50.0,False,3077,1.7348681557178498,78,0.9102564102564102,False,False,False,False
AS***082,18,20.05052798986435,65846.91814113107,400.0,False,0,0.050126319974660875,24,0.75,True,False,False,False
AS***089,243,282.1582598686218,954142.0122225515,400.0,False,0,0.7053956496715545,212,1.1462264150943395,False,False,False,False
AS***092,4,2.6847798824310303,14382.691559453575,100.0,False,0,0.026847798824310303,4,1.0,False,False,False,False
AS***094Y,24,38.22751343250275,113509.11657148764,100.0,False,0,0.38227513432502747,21,1.1428571428571428,False,False,False,False
AS***098Y,77,86.16841328144073,315656.03103274,200.0,False,0,0.4308420664072037,92,0.8369565217391305,False,False,False,False
AS***105Y,42,51.74399971961975,178327.84794574793,200.0,False,0,0.25871999859809874,44,0.9545454545454546,False,False,False,False
AS***107,72,61.47349113225937,293147.6286746013,200.0,False,0,0.30736745566129686,81,0.8888888888888888,False,False,False,False
AS***109,210,258.71999859809875,1023609.0051279423,400.0,False,0,0.6467999964952469,214,0.9813084112149533,False,False,False,False
AS***113,61,74.40746688842773,201765.31298042,400.0,False,0,0.18601866722106933,62,0.9838709677419355,False,False,False,False
AS***117Z,55,46.79111593961716,239689.06100970338,200.0,False,0,0.23395557969808578,57,0.9649122807017544,False,False,False,False
AS***122,49,56.93685173988342,186890.240742922,100.0,False,0,0.5693685173988342,55,0.8909090909090909,False,False,False,False
AS***131,69,56.75991076231003,279061.7022135976,200.0,False,0,0.28379955381155014,73,0.9452054794520548,False,False,False,False
AS***134X,21,21.76021045446396,70814.40210802006,50.0,False,0,0.43520420908927915,30,0.7,True,False,False,False
AS***143Z,39,44.67030358314514,151883.94048255784,200.0,False,0,0.22335151791572572,91,0.42857142857142855,True,False,False,False
AS***144,26,30.763816475868225,109399.91604408895,400.0,False,0,0.07690954118967057,26,1.0,False,False,False,False
AS***152X,135,120.33232492208481,541605.939311877,400.0,False,0,0.300830812305212,145,0.9310344827586207,False,False,False,False
AS***155,166,202.53118062391877,725789.5108188323,200.0,False,4,1.0126559031195939,109,1.5229357798165137,True,False,False,False
AS***155X,148,207.43751275539398,682312.3700479709,200.0,False,17,1.0371875637769699,141,1.049645390070922,False,False,False,False
AS***155Z,88,107.96801143884659,336139.25878599193,200.0,False,0,0.5398400571942329,90,0.9777777777777777,False,False,False,False
AS***159,106,160.42695723101497,493605.74671406095,200.0,False,0,0.8021347861550748,92,1.1521739130434783,False,False,False,False
AS***161,77,88.6867184638977,295208.8177653962,400.0,False,0,0.22171679615974427,76,1.013157894736842,False,False,False,False
AS***161Y,72,88.67910516262054,245629.394339696,200.0,False,0,0.4433955258131027,72,1.0,False,False,False,False
AS***162,148,182.3359990119934,548664.1524896981,630.0,False,0,0.2894222206539578,150,0.9866666666666667,False,False,False,False
AS***162X,207,235.81634348630905,880942.3378356881,400.0,False,0,0.5895408587157727,199,1.0402010050251256,False,False,False,False
AS***164,42,51.66931664943695,151008.48975224688,400.0,False,0,0.12917329162359237,47,0.8936170212765957,False,False,False,False
AS***165X,28,33.38641810417175,115252.075139531,200.0,False,0,0.16693209052085878,30,0.9333333333333333,False,False,False,False
AS***174Y,32,38.919457256793976,130497.44209389962,200.0,False,0,0.19459728628396988,33,0.9696969696969697,False,False,False,False
AS***176Y,112,114.1451188325882,455984.5694780548,400.0,False,0,0.2853627970814705,116,0.9655172413793104,False,False,False,False
AS***178Y,182,224.22399878501892,823905.7834045577,630.0,False,0,0.35591110918256974,183,0.994535519125683,False,False,False,False
AS***193,23,28.335999846458435,96147.8326073744,200.0,False,0,0.1416799992322922,25,0.92,False,False,False,False
AS***196,92,80.2213431596756,411579.79696120956,400.0,False,0,0.200553357899189,95,0.968421052631579,False,False,False,False
AS***204,156,209.3603559806943,716091.8994515656,200.0,False,169,1.0468017799034715,99,1.5757575757575757,True,False,False,False
AS***209,159,169.60338652133942,637347.4190145656,630.0,False,0,0.2692117246370467,160,0.99375,False,False,False,False
AS***209X,55,67.73510527610779,259647.99852348684,100.0,False,0,0.6773510527610779,58,0.9482758620689655,False,False,False,False
AS***216X,47,120.29866759292781,238538.99230001296,1000.0,False,0,0.12029866759292782,49,0.9591836734693877,False,False,False,False
AS***220Z,43,52.97599971294403,170320.32627920294,400.0,False,0,0.13243999928236008,43,1.0,False,False,False,False
AS***221Z,43,52.97599971294403,170320.32627920294,400.0,False,0,0.13243999928236008,84,0.5119047619047619,True,False,False,False
